id,name,KM 1,Precio 1,Precio 1 descuento,KM 2,Precio 2,Precios 2 descuneto,KM 3,Precio 3,Precios 3 descuneto,KM 4,Precio 4,stock,category,Destacadas,Image 1,Image 2,Image 3
0660,CATCHOW ADULTO CARNE ,8KG,53000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/HLs85zxF/CATCHOW-ADULTO-CARNE-8KG.webp,,
0664,CATCHOW ADULTO PESCADO ,8KG,53800,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/L4v736Nc/CATCHOW-ADULTO-PESCADO-8KG.webp,,
,CATPRO GATO CASTRADO ,3KG,22000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/mgvB9kSP/CATPRO-GATO-CASTRADO-3KG.webp,,
6756,CRIADORES BAIRES CACHORRO,15KG,31700,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/VL2d51QQ/CRIADORES-BAIRES-CACHORRO-15KG.jpg,,
6752,CRIADORES BAIRES ADULTO ,22KG,39400,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/RV2LmjgY/CRIADORES-BAIRES-ADULTO-RAZA-PEQ-22KG.webp,,
,COMPANY GATO ADULTO,3KG,13800,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/NMDY71Z3/COMPANY-GATO-ADULTO-3KG.webp,,
,COMPANY GATITO ,3KG,14700,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/gcss3gTZ/COMPANY-GATITO-3KG.webp,,
0514,DOGCHOW ADULTO RAZA PEQUEÑA ,20KG,64800,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/J4JWcHdZ/DOGCHOW-ADULTO-RAZA-PEQUENA-20KG.webp,,
,DOGCHOW ADULTO RAZA MED/GR,20KG,61500,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/9z5KxFck/DOGCHOW-ADULTO-RAZA-MED-GR.webp,,
0510,DOGCHOW CACHORRO RAZA PEQUEÑA ,21KG,73200,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/7ZWb9SbD/DOGCHOW-CACHORRO-RAZA-PEQUENA-21KG.webp,,
8876,POUCH ,100G,1500,,,,,,,,,,15,ALIMENTOS HUMEDOS,FALSE,https://i.postimg.cc/mgmwq8PY/POUCH-100-G-SALMON.webp,,
2460,DOGUI ADULTO ,21KG,47300,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/76krCsmy/DOGUI-ADULTO-21KG.webp,https://i.postimg.cc/XNgSPrgF/DOGUI-TABLA-NUTRICIONAL-ADULTO.jpg,
2463,DOGUI CACHORRO ,21KG,52100,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/s2Xv6JWG/DOGUI-PERRO-CACHORRO-21KG.webp,https://i.postimg.cc/7hNkM6KZ/DOGUI-TABLA-NUTRICIONAL-CACHORRO.jpg,
6230,EXCELLENT PURINA ADULTO SKIN CARE ,3KG,21600,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/ryYgQhtz/EXCELLENT-PURINA-ADULTO-SKIN-CARE-3KG.webp,,
